case	status	seconds	last_time	solver_log
Advanced/Diamond_Obstacle_KOMEGASST/GT_Files	OK	0	5	log.pimpleFoam
Advanced/Double_Square_SA/GT_Files	OK	0	5	log.pimpleFoam
Advanced/Rectangular_Obstacle_SA/GT_Files	OK	0	5	log.pimpleFoam
Advanced/Diamond_Obstacle_SA/GT_Files	OK	0	5	log.pimpleFoam
Advanced/Rectangular_Obstacle_KOMEGASST/GT_Files	OK	0	5	log.pimpleFoam
Advanced/counterFlowFlame2D_KE/GT_Files	OK	0	0.5	log.reactingFoam
Advanced/counterFlowFlame2D_SA/GT_Files	OK	0	0.5	log.reactingFoam
Advanced/Cavity_SA/GT_Files	OK	0	10	log.pisoFoam
Advanced/Cavity_geometry_1/GT_Files	OK	0	10	log.pisoFoam
Advanced/Cavity_LES/GT_Files	OK	0	10	log.pisoFoam
Advanced/nozzleFlow2D_SA/GT_Files	OK	0	1e-05	log.interFoam
Advanced/wedge_SA/GT_Files	OK	0	0.2	log.rhoCentralFoam
Advanced/obliqueShock_KE/GT_Files	OK	0	10	log.rhoCentralFoam
Advanced/obliqueShock_LES/GT_Files	OK	0	10	log.rhoCentralFoam
Advanced/Cylinder_SA/GT_Files	OK	0	2	log.pimpleFoam
Advanced/Cylinder_LES/GT_Files	OK	0	2	log.pimpleFoam
Basic/BernardCells/1/GT_Files	OK	0	1000	log.buoyantFoam
Basic/BernardCells/10/GT_Files	OK	0	1000	log.buoyantFoam
Basic/BernardCells/2/GT_Files	OK	0	1000	log.buoyantFoam
Basic/BernardCells/3/GT_Files	OK	0	1000	log.buoyantFoam
Basic/BernardCells/5/GT_Files	OK	0	1000	log.buoyantFoam
Basic/BernardCells/4/GT_Files	OK	0	1000	log.buoyantFoam
Basic/BernardCells/6/GT_Files	OK	0	1000	log.buoyantFoam
Basic/BernardCells/9/GT_Files	OK	0	1000	log.buoyantFoam
Basic/BernardCells/8/GT_Files	OK	0	1000	log.buoyantFoam
Basic/BernardCells/7/GT_Files	OK	0	1000	log.buoyantFoam
Basic/Cavity/1/GT_Files	OK	0	10	log.pisoFoam
Basic/Cavity/10/GT_Files	OK	0	10	log.pisoFoam
Basic/Cavity/2/GT_Files	OK	0	10	log.pisoFoam
Basic/Cavity/4/GT_Files	OK	1	10	log.pisoFoam
Basic/Cavity/3/GT_Files	OK	1	10	log.pisoFoam
Basic/Cavity/5/GT_Files	OK	1	10	log.pisoFoam
Basic/Cavity/7/GT_Files	OK	0	10	log.pisoFoam
Basic/Cylinder/1/GT_Files	OK	0	0.5	log.pimpleFoam
Basic/Cylinder/2/GT_Files	OK	0	0.5	log.pimpleFoam
Basic/Cavity/6/GT_Files	OK	0	10	log.pisoFoam
Basic/Cylinder/10/GT_Files	OK	0	0.5	log.pimpleFoam
Basic/Cylinder/3/GT_Files	OK	0	0.5	log.pimpleFoam
Basic/Cavity/9/GT_Files	OK	0	10	log.pisoFoam
Basic/Cylinder/4/GT_Files	OK	0	0.5	log.pimpleFoam
Basic/Cavity/8/GT_Files	OK	0	10	log.pisoFoam
Basic/Cylinder/6/GT_Files	OK	0	0.5	log.pimpleFoam
Basic/Cylinder/5/GT_Files	OK	0	0.5	log.pimpleFoam
Basic/Cylinder/8/GT_Files	OK	0	0.5	log.pimpleFoam
Basic/Cylinder/9/GT_Files	OK	0	0.5	log.pimpleFoam
Basic/Cylinder/7/GT_Files	OK	0	0.5	log.pimpleFoam
Basic/counterFlowFlame2D/1/GT_Files	OK	0	0.5	log.reactingFoam
Basic/counterFlowFlame2D/10/GT_Files	OK	0	0.5	log.reactingFoam
Basic/counterFlowFlame2D/2/GT_Files	OK	0	0.5	log.reactingFoam
Basic/counterFlowFlame2D/3/GT_Files	OK	0	0.5	log.reactingFoam
Basic/counterFlowFlame2D/4/GT_Files	OK	0	0.5	log.reactingFoam
Basic/damBreakWithObstacle/10/GT_Files	OK	0	0.1	log.interFoam
Basic/damBreakWithObstacle/1/GT_Files	OK	0	0.1	log.interFoam
Basic/counterFlowFlame2D/6/GT_Files	OK	0	0.5	log.reactingFoam
Basic/counterFlowFlame2D/7/GT_Files	OK	0	0.5	log.reactingFoam
Basic/counterFlowFlame2D/5/GT_Files	OK	0	0.5	log.reactingFoam
Basic/counterFlowFlame2D/8/GT_Files	OK	0	0.5	log.reactingFoam
Basic/damBreakWithObstacle/2/GT_Files	OK	0	0.1	log.interFoam
Basic/counterFlowFlame2D/9/GT_Files	OK	0	0.5	log.reactingFoam
Basic/damBreakWithObstacle/3/GT_Files	OK	0	0.1	log.interFoam
Basic/damBreakWithObstacle/4/GT_Files	OK	0	0.1	log.interFoam
Basic/damBreakWithObstacle/5/GT_Files	OK	0	0.1	log.interFoam
Basic/damBreakWithObstacle/8/GT_Files	OK	0	0.1	log.interFoam
Basic/damBreakWithObstacle/7/GT_Files	OK	0	0.1	log.interFoam
Basic/damBreakWithObstacle/6/GT_Files	OK	0	0.1	log.interFoam
Basic/damBreakWithObstacle/9/GT_Files	OK	0	0.1	log.interFoam
Basic/obliqueShock/1/GT_Files	OK	0	10	log.rhoCentralFoam
Basic/obliqueShock/10/GT_Files	OK	0	10	log.rhoCentralFoam
Basic/forwardStep/10/GT_Files	OK	0	4	log.rhoCentralFoam
Basic/forwardStep/1/GT_Files	OK	0	4	log.rhoCentralFoam
Basic/forwardStep/2/GT_Files	OK	0	4	log.rhoCentralFoam
Basic/forwardStep/3/GT_Files	OK	0	4	log.rhoCentralFoam
Basic/forwardStep/4/GT_Files	OK	0	4	log.rhoCentralFoam
Basic/forwardStep/5/GT_Files	OK	0	4	log.rhoCentralFoam
Basic/forwardStep/7/GT_Files	OK	0	4	log.rhoCentralFoam
Basic/forwardStep/6/GT_Files	OK	0	4	log.rhoCentralFoam
Basic/forwardStep/8/GT_Files	OK	0	4	log.rhoCentralFoam
Basic/obliqueShock/2/GT_Files	OK	0	10	log.rhoCentralFoam
Basic/forwardStep/9/GT_Files	OK	0	4	log.rhoCentralFoam
Basic/obliqueShock/3/GT_Files	OK	0	10	log.rhoCentralFoam
Basic/obliqueShock/4/GT_Files	OK	0	10	log.rhoCentralFoam
Basic/obliqueShock/5/GT_Files	OK	0	10	log.rhoCentralFoam
Basic/obliqueShock/7/GT_Files	OK	0	10	log.rhoCentralFoam
Basic/obliqueShock/8/GT_Files	OK	0	10	log.rhoCentralFoam
Basic/obliqueShock/9/GT_Files	OK	0	10	log.rhoCentralFoam
Basic/obliqueShock/6/GT_Files	OK	0	10	log.rhoCentralFoam
Basic/pitzDaily/10/GT_Files	OK	0	0.3	log.pimpleFoam
Basic/pitzDaily/2/GT_Files	OK	0	0.3	log.pimpleFoam
Basic/pitzDaily/1/GT_Files	OK	0	0.3	log.pimpleFoam
Basic/pitzDaily/3/GT_Files	OK	0	0.3	log.pimpleFoam
Basic/pitzDaily/4/GT_Files	OK	0	0.3	log.pimpleFoam
Basic/pitzDaily/5/GT_Files	OK	0	0.3	log.pimpleFoam
Basic/pitzDaily/6/GT_Files	OK	0	0.3	log.pimpleFoam
Basic/pitzDaily/7/GT_Files	OK	0	0.3	log.pimpleFoam
Basic/pitzDaily/9/GT_Files	OK	0	0.3	log.pimpleFoam
Basic/pitzDaily/8/GT_Files	OK	0	0.3	log.pimpleFoam
Basic/squareBend/1/GT_Files	OK	0	150	log.rhoSimpleFoam
Basic/squareBend/10/GT_Files	OK	0	74.5	log.rhoSimpleFoam
Basic/squareBend/3/GT_Files	OK	0	150	log.rhoSimpleFoam
Basic/squareBend/2/GT_Files	OK	0	500	log.rhoSimpleFoam
Basic/squareBend/4/GT_Files	OK	0	151	log.rhoSimpleFoam
Basic/squareBend/5/GT_Files	OK	0	151	log.rhoSimpleFoam
Basic/shallowWaterWithSquareBump/10/GT_Files	OK	0	100	log.shallowWaterFoam
Basic/shallowWaterWithSquareBump/1/GT_Files	OK	0	100	log.shallowWaterFoam
Basic/squareBend/6/GT_Files	OK	0	154	log.rhoSimpleFoam
Basic/squareBend/7/GT_Files	OK	0	74	log.rhoSimpleFoam
Basic/squareBend/8/GT_Files	OK	0	75	log.rhoSimpleFoam
Basic/squareBend/9/GT_Files	OK	0	74.5	log.rhoSimpleFoam
Basic/shallowWaterWithSquareBump/2/GT_Files	OK	0	100	log.shallowWaterFoam
Basic/shallowWaterWithSquareBump/4/GT_Files	OK	0	100	log.shallowWaterFoam
Basic/shallowWaterWithSquareBump/3/GT_Files	OK	0	100	log.shallowWaterFoam
Basic/shallowWaterWithSquareBump/5/GT_Files	OK	0	100	log.shallowWaterFoam
Basic/shallowWaterWithSquareBump/7/GT_Files	OK	0	100	log.shallowWaterFoam
Basic/shallowWaterWithSquareBump/6/GT_Files	OK	0	100	log.shallowWaterFoam
Basic/wedge/1/GT_Files	OK	0	0.2	log.rhoCentralFoam
Basic/shallowWaterWithSquareBump/9/GT_Files	OK	0	100	log.shallowWaterFoam
