case	status	seconds	finished_at
Basic/Cavity/1	ok	113	2026-08-30T20:47:31
Basic/BernardCells/1	ok	174	2026-08-30T20:51:34
Basic/BernardCells/2	ok	172	2026-08-30T20:54:26
Basic/BernardCells/3	ok	147	2026-08-30T20:56:54
Basic/BernardCells/4	ok	145	2026-08-30T20:59:20
Basic/BernardCells/5	ok	186	2026-08-30T21:02:26
Basic/BernardCells/6	ok	138	2026-08-30T21:04:44
Basic/BernardCells/7	ok	131	2026-08-30T21:06:56
Basic/BernardCells/8	ok	265	2026-08-30T21:11:22
Basic/BernardCells/9	ok	136	2026-08-30T21:13:39
Basic/BernardCells/10	ok	137	2026-08-30T21:15:56
Basic/Cavity/2	ok	107	2026-08-30T21:17:44
Basic/Cavity/3	ok	107	2026-08-30T21:19:31
Basic/Cavity/4	ok	107	2026-08-30T21:21:19
Basic/Cavity/5	ok	111	2026-08-30T21:23:10
Basic/Cavity/6	ok	113	2026-08-30T21:25:04
Basic/Cavity/7	ok	106	2026-08-30T21:26:50
Basic/Cavity/8	ok	106	2026-08-30T21:28:37
Basic/Cavity/9	ok	110	2026-08-30T21:30:27
Basic/Cavity/10	ok	105	2026-08-30T21:32:13
Basic/Cylinder/1	ok	447	2026-08-30T21:39:40
Basic/Cylinder/2	ok	455	2026-08-30T21:47:15
Basic/Cylinder/3	ok	240	2026-08-30T21:51:16
Basic/Cylinder/5	ok	245	2026-08-30T22:01:34
Basic/Cylinder/6	ok	275	2026-08-30T22:06:10
Basic/Cylinder/7	ok	505	2026-08-30T22:14:35
Basic/Cylinder/8	ok	230	2026-08-30T22:18:26
Basic/Cylinder/9	ok	394	2026-08-30T22:25:00
Basic/Cylinder/10	ok	242	2026-08-30T22:29:02
Basic/counterFlowFlame2D/1	timeout	900	2026-08-30T22:44:02
Basic/counterFlowFlame2D/2	timeout	900	2026-08-30T22:59:03
Basic/counterFlowFlame2D/3	timeout	900	2026-08-30T23:14:03
Basic/counterFlowFlame2D/4	timeout	900	2026-08-30T23:29:03
Basic/counterFlowFlame2D/5	timeout	900	2026-08-30T23:44:03
Basic/counterFlowFlame2D/6	timeout	900	2026-08-30T23:59:03
Basic/counterFlowFlame2D/7	timeout	900	2026-08-31T00:14:03
Basic/counterFlowFlame2D/8	timeout	900	2026-08-31T00:29:03
Basic/counterFlowFlame2D/9	timeout	900	2026-08-31T00:44:03
Basic/counterFlowFlame2D/10	timeout	900	2026-08-31T00:59:03
Basic/damBreakWithObstacle/2	ok	272	2026-08-31T01:06:49
Basic/damBreakWithObstacle/3	ok	281	2026-08-31T01:11:30
Basic/damBreakWithObstacle/4	ok	312	2026-08-31T01:16:43
Basic/damBreakWithObstacle/6	ok	242	2026-08-31T01:25:53
Basic/damBreakWithObstacle/10	ok	244	2026-08-31T01:43:45
Basic/forwardStep/1	ok	108	2026-08-31T01:45:33
Basic/forwardStep/2	ok	177	2026-08-31T01:48:31
Basic/forwardStep/3	ok	109	2026-08-31T01:50:20
Basic/forwardStep/4	ok	106	2026-08-31T01:52:07
Basic/forwardStep/5	ok	146	2026-08-31T01:54:33
Basic/forwardStep/6	ok	173	2026-08-31T01:57:27
Basic/forwardStep/7	ok	111	2026-08-31T01:59:18
Basic/forwardStep/8	ok	106	2026-08-31T02:01:05
Basic/forwardStep/9	ok	169	2026-08-31T02:03:55
Basic/forwardStep/10	ok	110	2026-08-31T02:05:45
Basic/obliqueShock/1	ok	121	2026-08-31T02:07:47
Basic/obliqueShock/2	ok	103	2026-08-31T02:09:31
Basic/obliqueShock/3	ok	306	2026-08-31T02:14:37
Basic/obliqueShock/4	ok	488	2026-08-31T02:22:45
