Split	Dataset	Directory	status	seconds	Execution	CodeBLEU	TreeScore	NMSE	NMSE_Score	Success
Basic	pitzDaily	1	ok	289	1	0.8345	1.0000	0.0034	1.0000	1
Basic	pitzDaily	2	ok	185	1	0.7899	1.0000	0.0022	1.0000	1
Basic	pitzDaily	3	ok	231	1	0.8075	1.0000	0.0046	1.0000	1
Basic	pitzDaily	4	timeout	900	0	0.7799	1.0000	9999.0000	0.0000	0
Basic	pitzDaily	5	timeout	900	0	0.7858	1.0000	9999.0000	0.0000	0
Basic	pitzDaily	6	timeout	900	0	0.7882	1.0000	9999.0000	0.0000	0
Basic	pitzDaily	7	timeout	900	0	0.7536	1.0000	9999.0000	0.0000	0
Basic	pitzDaily	8	ok	287	1	0.7997	1.0000	0.0021	1.0000	1
Basic	pitzDaily	9	ok	192	1	0.8129	1.0000	0.0026	1.0000	1
Basic	pitzDaily	10	ok	192	1	0.8756	1.0000	0.0425	1.0000	1
Basic	BernardCells	1	ok	174	1	0.6649	0.9333	104536824.0000	0.0000	0
Basic	BernardCells	2	ok	172	1	0.6462	0.9333	105838856.0000	0.0000	0
Basic	BernardCells	3	ok	147	1	0.6677	0.9333	111422728.0000	0.0000	0
Basic	BernardCells	4	ok	145	1	0.6753	0.9333	111449752.0000	0.0000	0
Basic	BernardCells	5	ok	186	1	0.6778	0.9333	107274144.0000	0.0000	0
Basic	BernardCells	6	ok	138	1	0.6593	0.9333	107631712.0000	0.0000	0
Basic	BernardCells	7	ok	131	1	0.6441	0.9333	106124768.0000	0.0000	0
Basic	BernardCells	8	ok	265	1	0.6730	0.9333	333709.4062	0.0000	0
Basic	BernardCells	9	ok	136	1	0.6418	0.9333	105280840.0000	0.0000	0
Basic	BernardCells	10	ok	137	1	0.6427	0.9333	106627552.0000	0.0000	0
Basic	shallowWaterWithSquareBump	1	ok	108	1	0.6306	0.7556	1.0067	0.0000	0
Basic	shallowWaterWithSquareBump	2	ok	179	1	0.6292	0.7556	0.9999	0.0000	0
Basic	shallowWaterWithSquareBump	3	ok	106	1	0.6475	0.7556	1.0000	0.0000	0
Basic	shallowWaterWithSquareBump	4	ok	100	1	0.6606	0.7556	1.0000	0.0000	0
Basic	shallowWaterWithSquareBump	5	ok	99	1	0.6458	0.7556	1.0000	0.0000	0
Basic	shallowWaterWithSquareBump	6	ok	162	1	0.6293	0.7556	1.0000	0.0000	0
Basic	shallowWaterWithSquareBump	7	ok	105	1	0.6613	0.7556	1.0000	0.0000	0
Basic	shallowWaterWithSquareBump	8	ok	107	1	0.6613	0.7556	1.0000	0.0000	0
Basic	shallowWaterWithSquareBump	9	ok	154	1	0.6371	0.7556	1.0000	0.0000	0
Basic	shallowWaterWithSquareBump	10	ok	147	1	0.6275	0.7556	0.8102	0.0000	0
Basic	obliqueShock	1	ok	121	1	0.8540	1.0000	0.0005	1.0000	1
Basic	obliqueShock	2	ok	103	1	0.8528	1.0000	1.2050	0.0000	0
Basic	obliqueShock	3	ok	306	1	0.8181	1.0000	0.0103	1.0000	1
Basic	obliqueShock	4	ok	488	1	0.8464	1.0000	0.0186	1.0000	1
Basic	obliqueShock	5	ok	563	1	0.8348	1.0000	0.0096	1.0000	1
Basic	obliqueShock	6	ok	502	1	0.8339	1.0000	0.0046	1.0000	1
Basic	obliqueShock	7	ok	213	1	0.8301	1.0000	0.0201	1.0000	1
Basic	obliqueShock	8	ok	472	1	0.8476	1.0000	0.0055	1.0000	1
Basic	obliqueShock	9	ok	273	1	0.8315	1.0000	0.0055	1.0000	1
Basic	obliqueShock	10	ok	266	1	0.8296	1.0000	0.0385	1.0000	1
Basic	wedge	1	ok	132	1	0.8638	1.0000	0.0089	1.0000	1
Basic	wedge	2	ok	247	1	0.9289	1.0000	0.0407	1.0000	1
Basic	wedge	3	ok	119	1	0.8949	1.0000	0.0191	1.0000	1
Basic	wedge	4	ok	133	1	0.8358	1.0000	0.0092	1.0000	1
