case	status	seconds	finished_at
Basic/BernardCells/1	ok		2026-08-28 (before per-case timing was recorded)
Basic/BernardCells/2	ok		2026-08-28 (before per-case timing was recorded)
Basic/BernardCells/3	ok		2026-08-28 (before per-case timing was recorded)
Basic/BernardCells/4	ok		2026-08-28 (before per-case timing was recorded)
Basic/BernardCells/5	ok		2026-08-28 (before per-case timing was recorded)
Basic/BernardCells/6	ok		2026-08-28 (before per-case timing was recorded)
Basic/BernardCells/7	ok		2026-08-28 (before per-case timing was recorded)
Basic/BernardCells/8	ok		2026-08-28 (before per-case timing was recorded)
Basic/BernardCells/9	ok		2026-08-28 (before per-case timing was recorded)
Basic/BernardCells/10	ok		2026-08-28 (before per-case timing was recorded)
Basic/Cavity/2	ok		2026-08-28 (before per-case timing was recorded)
Basic/Cavity/3	ok		2026-08-28 (before per-case timing was recorded)
Basic/Cavity/4	ok		2026-08-28 (before per-case timing was recorded)
Basic/Cavity/5	ok		2026-08-28 (before per-case timing was recorded)
Basic/Cavity/6	ok		2026-08-28 (before per-case timing was recorded)
Basic/Cavity/7	ok		2026-08-28 (before per-case timing was recorded)
Basic/Cavity/8	ok		2026-08-28 (before per-case timing was recorded)
Basic/Cavity/9	ok		2026-08-28 (before per-case timing was recorded)
Basic/Cavity/10	ok		2026-08-28 (before per-case timing was recorded)
Basic/Cylinder/1	ok		2026-08-28 (before per-case timing was recorded)
Basic/Cylinder/2	ok		2026-08-28 (before per-case timing was recorded)
Basic/Cylinder/3	ok		2026-08-28 (before per-case timing was recorded)
Basic/Cylinder/4	ok		2026-08-28 (before per-case timing was recorded)
Basic/Cylinder/5	ok		2026-08-28 (before per-case timing was recorded)
Basic/Cylinder/6	ok		2026-08-28 (before per-case timing was recorded)
Basic/Cylinder/7	ok		2026-08-28 (before per-case timing was recorded)
Basic/Cylinder/8	ok		2026-08-28 (before per-case timing was recorded)
Basic/Cylinder/9	ok		2026-08-28 (before per-case timing was recorded)
Basic/Cylinder/10	ok		2026-08-28 (before per-case timing was recorded)
Basic/counterFlowFlame2D/1	timeout	10800	2026-08-28 (before per-case timing was recorded)
Basic/counterFlowFlame2D/2	timeout	10800	2026-08-28 (before per-case timing was recorded)
