Split	Dataset	Directory	status	seconds	Execution	CodeBLEU	TreeScore	NMSE	NMSE_Score	Success
Basic	pitzDaily	1	ok	248.0000	1	0.8445	1.0000	0.8895	0.0000	0
Basic	pitzDaily	2	ok	288.0000	1	0.8230	1.0000	1.9471	0.0000	0
Basic	pitzDaily	3	ok	410.0000	1	0.7943	1.0000	2.5631	0.0000	0
Basic	pitzDaily	4	ok	463.0000	1	0.8420	1.0000	0.0066	1.0000	1
Basic	pitzDaily	5	ok	278.0000	1	0.7972	1.0000	0.5573	0.0000	0
Basic	pitzDaily	6	ok	342.0000	1	0.8158	1.0000	2.4564	0.0000	0
Basic	pitzDaily	7	ok	299.0000	1	0.8220	1.0000	2.1153	0.0000	0
Basic	pitzDaily	8	ok	436.0000	1	0.7888	1.0000	0.4732	0.0000	0
Basic	pitzDaily	9	ok	316.0000	1	0.8111	1.0000	2.6541	0.0000	0
Basic	pitzDaily	10	ok	242.0000	1	0.8071	1.0000	0.0825	1.0000	1
Basic	BernardCells	1	ok		1	0.6519	0.9333	104528264.0000	0.0000	0
Basic	BernardCells	2	ok		1	0.6458	0.9333	104611416.0000	0.0000	0
Basic	BernardCells	3	ok		1	0.6495	0.9333	0.7173	0.0000	0
Basic	BernardCells	4	ok		1	0.6198	0.9333	106104264.0000	0.0000	0
Basic	BernardCells	5	ok		1	0.6692	0.9333	104451064.0000	0.0000	0
Basic	BernardCells	6	ok		1	0.6287	0.9333	1.0279	0.0000	0
Basic	BernardCells	7	ok		1	0.6428	0.9333	104455512.0000	0.0000	0
Basic	BernardCells	8	ok		1	0.6669	0.9333	104640960.0000	0.0000	0
Basic	BernardCells	9	ok		1	0.6288	0.9333	0.9171	0.0000	0
Basic	BernardCells	10	ok		1	0.6652	0.9333	0.4375	0.0000	0
Basic	shallowWaterWithSquareBump	1	ok	157.0000	0	0.3873	0.4667	9999.0000	0.0000	0
Basic	shallowWaterWithSquareBump	2	ok	361.0000	1	0.4799	0.6444	0.2505	0.5000	0
Basic	shallowWaterWithSquareBump	3	ok	290.0000	1	0.5212	0.6444	0.4507	0.0000	0
Basic	shallowWaterWithSquareBump	4	ok	454.0000	1	0.6249	1.0000	1.0000	0.0000	0
Basic	shallowWaterWithSquareBump	5	ok	286.0000	1	0.8111	1.0000	1.0000	0.0000	0
Basic	shallowWaterWithSquareBump	6	ok	125.0000	0	0.4016	0.4667	9999.0000	0.0000	0
Basic	shallowWaterWithSquareBump	7	ok	350.0000	1	0.4809	0.6444	0.7350	0.0000	0
Basic	shallowWaterWithSquareBump	8	ok	310.0000	1	0.6294	0.8889	0.7659	0.0000	0
Basic	shallowWaterWithSquareBump	9	ok	295.0000	1	0.6496	0.8889	0.7904	0.0000	0
Basic	shallowWaterWithSquareBump	10	ok	172.0000	0	0.3869	0.4667	9999.0000	0.0000	0
Basic	obliqueShock	1	ok	270.0000	1	0.8043	1.0000	0.0005	1.0000	1
Basic	obliqueShock	2	ok	523.0000	1	0.7729	1.0000	0.0255	1.0000	1
Basic	obliqueShock	3	ok	183.0000	1	0.7752	1.0000	0.1247	0.5000	0
Basic	obliqueShock	4	ok	192.0000	1	0.8370	1.0000	0.1316	0.5000	0
Basic	obliqueShock	5	ok	128.0000	1	0.7919	1.0000	0.0020	1.0000	1
Basic	obliqueShock	6	ok	566.0000	1	0.8131	1.0000	0.0053	1.0000	1
Basic	obliqueShock	7	ok	305.0000	1	0.8038	1.0000	0.0161	1.0000	1
Basic	obliqueShock	8	ok	230.0000	1	0.8131	1.0000	0.0022	1.0000	1
