case	status	seconds	last_time	solver_log
Advanced/Cavity_SA/GT_Files	OK	2	10	log.pisoFoam
Advanced/Cavity_LES/GT_Files	OK	2	10	log.pisoFoam
Advanced/Double_Square_SA/GT_Files	OK	5	5	log.pimpleFoam
Advanced/Cavity_geometry_1/GT_Files	OK	6	10	log.pisoFoam
Advanced/Cylinder_LES/GT_Files	OK	7	2	log.pimpleFoam
Advanced/Cylinder_SA/GT_Files	OK	7	2	log.pimpleFoam
Basic/BernardCells/1/GT_Files	OK	6	1000	log.buoyantFoam
Advanced/obliqueShock_KE/GT_Files	OK	15	10	log.rhoCentralFoam
Advanced/obliqueShock_LES/GT_Files	OK	12	10	log.rhoCentralFoam
Advanced/counterFlowFlame2D_KE/GT_Files	OK	19	0.5	log.reactingFoam
Basic/BernardCells/10/GT_Files	OK	14	1000	log.buoyantFoam
Basic/BernardCells/2/GT_Files	OK	9	1000	log.buoyantFoam
Advanced/wedge_SA/GT_Files	OK	18	0.2	log.rhoCentralFoam
Basic/BernardCells/5/GT_Files	OK	13	1000	log.buoyantFoam
Basic/BernardCells/3/GT_Files	OK	18	1000	log.buoyantFoam
Basic/BernardCells/4/GT_Files	OK	19	1000	log.buoyantFoam
Basic/BernardCells/7/GT_Files	OK	14	1000	log.buoyantFoam
Basic/Cavity/1/GT_Files	OK	3	10	log.pisoFoam
Basic/BernardCells/8/GT_Files	OK	13	1000	log.buoyantFoam
Basic/Cavity/10/GT_Files	OK	4	10	log.pisoFoam
Basic/BernardCells/6/GT_Files	OK	18	1000	log.buoyantFoam
Basic/Cavity/2/GT_Files	OK	2	10	log.pisoFoam
Basic/Cavity/3/GT_Files	OK	2	10	log.pisoFoam
Basic/Cavity/4/GT_Files	OK	3	10	log.pisoFoam
Basic/Cavity/5/GT_Files	OK	2	10	log.pisoFoam
Basic/Cavity/6/GT_Files	OK	3	10	log.pisoFoam
Basic/Cavity/8/GT_Files	OK	2	10	log.pisoFoam
Basic/Cavity/7/GT_Files	OK	4	10	log.pisoFoam
Basic/Cavity/9/GT_Files	OK	3	10	log.pisoFoam
Basic/Cylinder/1/GT_Files	OK	2	0.5	log.pimpleFoam
Basic/Cylinder/10/GT_Files	OK	2	0.5	log.pimpleFoam
Basic/Cylinder/2/GT_Files	OK	3	0.5	log.pimpleFoam
Basic/Cylinder/3/GT_Files	OK	2	0.5	log.pimpleFoam
Basic/Cylinder/4/GT_Files	OK	2	0.5	log.pimpleFoam
Basic/Cylinder/5/GT_Files	OK	2	0.5	log.pimpleFoam
Advanced/Diamond_Obstacle_SA/GT_Files	OK	47	5	log.pimpleFoam
